"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "TypeScript", "comment", "blank", "total"
"d:\Yeni-Sistemler\smart-moles-unit-of-work\.eslintrc.js", "JavaScript", 0, 25, 0, 0, 0, 0, 1, 26
"d:\Yeni-Sistemler\smart-moles-unit-of-work\.prettierrc", "JSON", 0, 0, 4, 0, 0, 0, 0, 4
"d:\Yeni-Sistemler\smart-moles-unit-of-work\1658902666096-NewEntity.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 5, 12
"d:\Yeni-Sistemler\smart-moles-unit-of-work\README.md", "Markdown", 0, 0, 0, 58, 0, 2, 23, 83
"d:\Yeni-Sistemler\smart-moles-unit-of-work\nest-cli.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"d:\Yeni-Sistemler\smart-moles-unit-of-work\ormconfig.json", "JSON", 0, 0, 14, 0, 0, 3, 0, 17
"d:\Yeni-Sistemler\smart-moles-unit-of-work\package-lock.json", "JSON", 0, 0, 15217, 0, 0, 0, 1, 15218
"d:\Yeni-Sistemler\smart-moles-unit-of-work\package.json", "JSON", 0, 0, 79, 0, 0, 6, 0, 85
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\1658908557480-migration.ts", "TypeScript", 0, 0, 0, 0, 128, 0, 5, 133
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\1659010124840-migrations.ts", "TypeScript", 0, 0, 0, 0, 112, 0, 5, 117
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\1659010227870-migrations.ts", "TypeScript", 0, 0, 0, 0, 112, 0, 5, 117
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\1659010971674-migrations.ts", "TypeScript", 0, 0, 0, 0, 112, 0, 5, 117
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\app.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 5, 23
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\app.controller.ts", "TypeScript", 0, 0, 0, 0, 20, 1, 7, 28
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\app.module.ts", "TypeScript", 0, 0, 0, 0, 41, 3, 7, 51
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\app.service.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 4, 17
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\config\config.service.ts", "TypeScript", 0, 0, 0, 0, 35, 21, 11, 67
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\config\dataSource.service.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 3, 33
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\config\migration.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 1, 6
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\config\orm.config.ts", "TypeScript", 0, 0, 0, 0, 16, 9, 2, 27
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\libs\api-results\standart-results.ts", "TypeScript", 0, 0, 0, 0, 31, 1, 2, 34
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\libs\exceptionHandler\all-exception.filter.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 1, 13
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\main.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 2, 23
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\ExternalUnits\deviceTypes.entity.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 1, 8
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\ExternalUnits\devicesLocation.entity.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 2, 14
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\ExternalUnits\irrigationTypes.entity.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 2, 14
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\ExternalUnits\modemImeriRecords.entity.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 2, 13
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\ExternalUnits\plants.entity.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 4, 17
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\ExternalUnits\simCards.entity.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 2, 17
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\Gateway\gateway.entity.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 11, 36
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\Gateway\gatewayFields.entity.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 2, 17
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\Gateway\gatewayKhasConditions.entity.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 7, 24
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\Gateway\gatewayMoistureConditions.entity.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 7, 24
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\Gateway\gatewaylogs.entity.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 2, 10
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\SmartRoot\smartRoot.entity.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 2, 11
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\SmartRoot\smartRootDetailFirst.entity.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 2, 13
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\SmartRoot\smartRootDetailSecond.entity.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 2, 13
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\manuelValveStrategies.entity.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 2, 18
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\pumpManagementTypes.entity.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 2, 11
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCalibrationLog.entity.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 2, 15
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCardLogs.entity.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 2, 10
"d:\Yeni-Sistemler\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCardParams.entity.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 3, 90
