"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Handlebars", "Markdown", "comment", "blank", "total"
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\.eslintrc.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\README.md", "Markdown", 0, 0, 0, 0, 0, 58, 2, 23, 83
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\nest-cli.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\ormconfig.json", "JSON", 14, 0, 0, 0, 0, 0, 3, 0, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\package-lock.json", "JSON", 21696, 0, 0, 0, 0, 0, 0, 1, 21697
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\package.json", "JSON", 93, 0, 0, 0, 0, 0, 6, 0, 99
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\app.controller.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\app.controller.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 2, 11, 90
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\app.module.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 12, 16, 112
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\app.service.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\config\config.service.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 21, 11, 67
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\config\dataSource.service.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\config\migration.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\config\orm.config.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 9, 2, 27
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\libs\api-results\standart-results.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 2, 3, 65
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\libs\constants\constants.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\libs\exceptionHandler\all-exception.filter.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\main.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 4, 3, 34
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\migrations\1659610287302-migrations.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\ExternalUnits\deviceTypes.entity.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\ExternalUnits\devicesLocation.entity.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\ExternalUnits\irrigationTypes.entity.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\ExternalUnits\modemImeriRecords.entity.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\ExternalUnits\plants.entity.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\ExternalUnits\simCards.entity.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\Gateway\gateway.entity.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 11, 36
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\Gateway\gatewayFields.entity.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\Gateway\gatewayKhasConditions.entity.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\Gateway\gatewayMoistureConditions.entity.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\Gateway\gatewaylogs.entity.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\SmartRoot\smartRoot.entity.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\SmartRoot\smartRootDetailFirst.entity.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\SmartRoot\smartRootDetailSecond.entity.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\manuelValveStrategies.entity.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\pumpManagementTypes.entity.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\model\WorkGroup\Sensors\sensorCalibrationLog.entity.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
