"filename", "language", "TypeScript", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\.env", "Properties", 0, 0, 0, 0, 1, 1
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\package-lock.json", "JSON", 0, 0, 86, 0, 0, 86
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\package.json", "JSON", 0, 0, 2, 0, 0, 2
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\app.module.ts", "TypeScript", 6, 0, 0, 2, 1, 9
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\libs\api-results\standart-results.ts", "TypeScript", 6, 0, 0, 5, 0, 11
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\main.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\smartCapillarity\ManuelWorker\ManuelValveWorker.module.ts", "TypeScript", 31, 0, 0, 0, 3, 34
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\smartCapillarity\ManuelWorker\ManuelValveWorker.service.ts", "TypeScript", 51, 0, 0, 0, 7, 58
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\operations\smartRoot\rootDetect.service.ts", "TypeScript", 24, 0, 0, 2, 3, 29
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\ManuelSystemInstallation\guide-en.ts", "TypeScript", 25, 0, 0, 0, 1, 26
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\ManuelSystemInstallation\guide-tr.ts", "TypeScript", 24, 0, 0, 0, 1, 25
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\ManuelSystemInstallation\systemInstallation.controller.ts", "TypeScript", 68, 0, 0, 0, 5, 73
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\ManuelSystemInstallation\systemInstallation.module.ts", "TypeScript", 53, 0, 0, 0, 3, 56
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\ManuelSystemInstallation\systemInstallation.service.ts", "TypeScript", 238, 0, 0, 11, 17, 266
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\gateway\gateway.service.ts", "TypeScript", 4, 0, 0, 0, 0, 4
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\users\userReturn.dto.ts", "TypeScript", 196, 0, 0, 0, 9, 205
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\users\users.controller.ts", "TypeScript", 31, 0, 0, 0, 5, 36
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\users\users.dto.ts", "TypeScript", 1, 0, 0, 0, -1, 0
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\users\users.module.ts", "TypeScript", 14, 0, 0, 0, 1, 15
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\users\users.service.ts", "TypeScript", 94, 0, 0, 1, 5, 100
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\workGroup\sensors\sensorCalibrationLogs\sensorCalibrationLog.dto.ts", "TypeScript", 6, 0, 0, 0, -1, 5
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\workGroup\valveCards\pumpCards\pumpCards.dto.ts", "TypeScript", -1, 0, 0, 0, 1, 0
"c:\Users\Emir TARTAR\Desktop\SmartMolesProject\smart-moles-unit-of-work\src\units\workGroup\valveCards\valveCards\valveCards.dto.ts", "TypeScript", -1, 0, 0, 0, 1, 0
"Total", "-", 870, 0, 88, 21, 63, 1042
